City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Nouadhibou,MR,2022-04-13 19:30:12,20.931,-17.0347,67.98,73,0,20.71
183,Westport,US,2022-04-13 19:30:13,41.1415,-73.3579,76.33,57,6,4.0
184,Caborca,MX,2022-04-13 19:29:14,30.5838,-111.101,70.57,7,0,3.76
185,Warri,NG,2022-04-13 19:30:13,5.5167,5.75,75.79,92,100,2.91
186,Contamana,PE,2022-04-13 19:30:14,-7.3333,-75.0167,86.59,57,90,6.08
187,Airai,TL,2022-04-13 19:30:14,-8.9266,125.4092,59.77,93,100,2.28
188,Nioro,GM,2022-04-13 19:31:14,13.35,-15.75,81.41,43,35,12.68
189,Aksha,RU,2022-04-13 19:31:15,50.2814,113.2867,25.21,53,3,2.66
190,Carnarvon,AU,2022-04-13 19:31:05,-24.8667,113.6333,68.07,60,0,13.8
191,Umbuzeiro,BR,2022-04-13 19:31:15,-7.6956,-35.6636,79.36,62,89,8.66
192,Fukuma,JP,2022-04-13 19:31:16,33.7667,130.4667,59.29,95,100,6.6
193,Hirara,JP,2022-04-13 19:31:16,24.8,125.2833,74.07,86,11,8.19
194,Hofn,IS,2022-04-13 19:30:40,64.2539,-15.2082,39.22,87,100,13.8
195,Yerbogachen,RU,2022-04-13 19:30:31,61.2767,108.0108,30.69,96,100,15.52
196,Tartagal,AR,2022-04-13 19:31:17,-22.5164,-63.8013,66.52,97,99,6.06
197,Mahibadhoo,MV,2022-04-13 19:31:17,3.7833,72.9667,83.75,76,100,14.54
198,Aykhal,RU,2022-04-13 19:29:56,66.0,111.5,19.54,95,97,14.52
199,Castro,BR,2022-04-13 19:31:18,-24.7911,-50.0119,67.59,90,100,3.76
200,Shebunino,RU,2022-04-13 19:31:18,46.4339,141.8603,31.05,83,14,4.14
201,Fortuna,US,2022-04-13 19:31:18,40.5982,-124.1573,51.98,76,100,8.05
202,Khvorostyanka,RU,2022-04-13 19:31:19,52.6096,48.9597,51.66,82,100,12.06
203,Baykit,RU,2022-04-13 19:31:19,61.67,96.37,35.71,87,100,12.53
204,Raudeberg,NO,2022-04-13 19:31:20,61.9875,5.1352,45.27,78,100,5.55
205,Vostok,RU,2022-04-13 19:31:20,46.4856,135.8833,20.1,94,22,4.21
206,Chengde,CN,2022-04-13 19:28:31,40.9725,117.9361,43.92,38,8,1.83
207,Gat,IL,2022-04-13 19:30:04,31.61,34.7642,59.81,100,36,7.56
208,Moron,AR,2022-04-13 19:31:20,-34.6534,-58.6198,69.8,37,3,7.07
209,Lazaro Cardenas,MX,2022-04-13 19:28:59,17.9583,-102.2,83.35,64,100,9.37
210,Limbus,SI,2022-04-13 19:31:21,46.5536,15.5836,57.61,66,0,4.0
211,Acajutla,SV,2022-04-13 19:31:21,13.5928,-89.8275,87.21,60,99,9.66
